City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
311,Zhongxing,CN,33.7039,118.6792,71.67,97,3,6.78,light rain
312,Laguna,US,38.421,-121.4238,80.42,73,1,1.99,clear sky
313,Saint Anthony,US,45.0205,-93.218,76.14,72,1,3.0,clear sky
314,Broken Hill,AU,-31.95,141.4333,54.18,75,0,14.61,clear sky
315,Katsuura,JP,35.1333,140.3,77.11,92,93,8.34,overcast clouds
316,Russellville,US,35.2784,-93.1338,82.18,54,1,5.75,clear sky
317,Manokwari,ID,-0.8667,134.0833,78.39,74,60,2.66,broken clouds
318,Ocampo,MX,21.65,-101.5,61.63,60,19,17.76,few clouds
319,Anakapalle,IN,17.6833,83.0167,78.75,91,100,10.33,overcast clouds
320,Kisaran,ID,2.9845,99.6158,75.61,96,100,1.74,overcast clouds
321,Geraldton,AU,-28.7667,114.6,50.41,87,0,8.05,clear sky
322,Avigliano,IT,40.7329,15.72,64.74,57,100,4.7,overcast clouds
323,Nanortalik,GL,60.1432,-45.2371,42.93,84,100,16.84,moderate rain
324,Saint-Augustin,CA,51.226,-58.6502,57.92,79,99,20.69,overcast clouds
325,Calabozo,VE,8.9242,-67.4293,88.09,51,100,8.75,overcast clouds
326,Ilulissat,GL,69.2167,-51.1,28.42,34,1,5.75,clear sky
327,Beauchamps,FR,50.012,1.5176,68.38,64,12,11.07,few clouds
328,Hohhot,CN,40.8106,111.6522,72.07,46,72,11.23,broken clouds
329,Cabedelo,BR,-6.9811,-34.8339,84.87,61,72,16.78,broken clouds
330,Panalingaan,PH,8.7842,117.4231,79.41,88,100,5.1,overcast clouds
331,Melfort,CA,52.8667,-104.6177,49.77,61,100,5.08,overcast clouds
332,San Quintin,MX,30.4833,-115.95,76.01,74,5,7.76,clear sky
333,Kawalu,ID,-7.3817,108.2082,72.25,95,100,1.52,overcast clouds
334,Kavaratti,IN,10.5669,72.642,81.77,83,93,19.22,overcast clouds
335,Zhezkazgan,KZ,47.8043,67.7144,59.04,72,99,15.08,overcast clouds
336,Miles City,US,46.4083,-105.8406,69.51,59,90,5.75,overcast clouds
337,Adamovka,RU,51.5223,59.9396,49.68,47,23,12.95,few clouds
338,Airai,TL,-8.9266,125.4092,60.13,89,58,1.05,broken clouds
339,Mayo,US,38.8876,-76.5119,80.26,56,20,3.0,few clouds
